year,Mozambique,Chad,Zambia,Swaziland,Afghanistan,"Congo, Dem. Rep.",Guinea-Bissau,Central African Republic,Sierra Leone,Lesotho
1960,35.00370731707320,40.24282926829270,45.10980487804880,44.23878048780490,31.13209756097560,41.01804878048780,34.50668292682930,36.48263414634150,31.46121951219510,46.5009512195122
1961,35.46675609756100,40.62126829268290,45.48751219512200,44.5348780487805,31.47529268292680,41.23353658536590,34.77863414634150,36.89570731707320,31.71495121951220,46.9849756097561
1962,35.91226829268290,41.00370731707320,45.85317073170730,44.81946341463410,31.83202439024390,41.45151219512200,35.05007317073170,37.31878048780490,31.98482926829270,47.39248780487810
1963,36.33878048780490,41.38963414634150,46.20824390243900,45.10056097560980,32.20426829268290,41.678,35.3200243902439,37.76034146341460,32.27582926829270,47.71648780487810
1964,36.74875609756100,41.77758536585370,46.55719512195120,45.38865853658540,32.59104878048780,41.91800000000000,35.5899756097561,38.22536585365850,32.59241463414630,47.96148780487800
1965,37.14821951219510,42.16200000000000,46.91053658536590,45.70124390243900,32.98987804878050,42.18048780487810,35.85941463414630,38.72636585365850,32.93800000000000,48.14048780487810
1966,37.54368292682930,42.53741463414630,47.28275609756100,46.05280487804880,33.39673170731710,42.47448780487810,36.12987804878050,39.27375609756100,33.31248780487810,48.27300000000000
1967,37.94368292682930,42.90229268292680,47.6809268292683,46.45280487804880,33.80914634146340,42.7969756097561,36.40034146341460,39.87156097560980,33.71678048780490,48.39007317073170
1968,38.35368292682930,43.25465853658540,48.10553658536590,46.90526829268290,34.22307317073170,43.1419512195122,36.67182926829270,40.51826829268290,34.15385365853660,48.52117073170730
1969,38.77573170731710,43.59648780487810,48.55314634146340,47.41070731707320,34.63751219512200,43.49992682926830,36.94280487804880,41.20939024390240,34.62865853658540,48.68480487804880
1970,39.21582926829270,43.93029268292680,49.01473170731710,47.96163414634150,35.0559756097561,43.8569024390244,37.20880487804880,41.9419268292683,35.15219512195120,48.89846341463420
1971,39.67997560975610,44.2620731707317,49.47782926829270,48.54709756097560,35.48141463414630,44.19339024390240,37.46231707317070,42.71146341463420,35.73948780487810,49.17012195121950
1972,40.16114634146340,44.59682926829270,49.92541463414630,49.15063414634150,35.9168780487805,44.49539024390240,37.70231707317070,43.50300000000000,36.39160975609760,49.49426829268290
1973,40.6478780487805,44.94158536585370,50.34102439024390,49.75921951219510,36.36131707317070,44.75390243902440,37.93180487804880,44.29756097560980,37.10468292682930,49.86539024390250
1974,41.12614634146340,45.29987804878050,50.71417073170730,50.36739024390240,36.81073170731710,44.96743902439030,38.15680487804880,45.07965853658540,37.86878048780490,50.2839512195122
1975,41.575,45.67875609756100,51.04136585365850,50.97707317073170,37.25712195121950,45.13997560975610,38.39029268292680,45.83275609756100,38.68904878048780,50.7529756097561
1976,41.9699756097561,46.08475609756100,51.32563414634150,51.59519512195120,37.69097560975610,45.28451219512190,38.65029268292680,46.54629268292680,39.57419512195120,51.27341463414630
1977,42.29556097560980,46.51541463414640,51.57000000000000,52.23019512195120,38.10629268292680,45.41607317073170,38.94729268292680,47.21121951219510,40.50124390243900,51.83831707317070
1978,42.54426829268290,46.96470731707320,51.7729268292683,52.88407317073170,38.49658536585370,45.54812195121950,39.28480487804880,47.81853658536590,41.42865853658540,52.43365853658540
1979,42.71356097560980,47.42765853658540,51.9259512195122,53.5508780487805,38.86185365853660,45.68465853658540,39.65829268292680,48.35478048780490,42.3038536585366,53.04746341463420
1980,42.80590243902440,47.89668292682930,52.01802439024390,54.22619512195120,39.20412195121950,45.82468292682930,40.05673170731710,48.80953658536590,43.04365853658540,53.65873170731710
1981,42.82673170731710,48.36575609756100,52.03758536585370,54.90317073170730,39.5269512195122,45.96319512195120,40.46404878048780,49.17634146341460,43.55982926829270,54.24397560975610
1982,42.79902439024390,48.82280487804880,51.97514634146340,55.57039024390240,39.83982926829270,46.09019512195120,40.85875609756100,49.45682926829270,43.80614634146340,54.79370731707320
1983,42.74870731707320,49.25578048780490,51.82019512195120,56.21192682926830,40.14924390243900,46.20068292682930,41.22534146341460,49.65253658536590,43.76641463414630,55.30143902439030
1984,42.69678048780490,49.65019512195120,51.56480487804880,56.81278048780490,40.45868292682930,46.29365853658540,41.55431707317070,49.7640243902439,43.44558536585370,55.76865853658540
1985,42.66273170731710,49.99156097560980,51.18853658536590,57.37439024390240,40.77058536585370,46.37865853658540,41.84075609756100,49.79229268292680,42.87207317073170,56.23834146341460
1986,42.66207317073170,50.26841463414640,50.67051219512200,57.90460975609760,41.0848780487805,46.46817073170730,42.08419512195120,49.73931707317070,42.0959024390244,56.77239024390240
1987,42.70282926829270,50.47729268292680,50.01682926829270,58.39882926829270,41.39900000000000,46.56770731707320,42.29521951219510,49.61304878048780,41.21075609756100,57.39182926829270
1988,42.79453658536590,50.61575609756100,49.24651219512200,58.83197560975610,41.7109268292683,46.67378048780490,42.48487804878050,49.4179756097561,40.31034146341460,58.07270731707320
1989,42.94668292682930,50.68380487804880,48.38960975609760,59.16853658536590,42.02119512195120,46.7759024390244,42.65968292682930,49.15956097560980,39.46234146341460,58.75614634146340
1990,43.17626829268290,50.6799268292683,47.48063414634150,59.34404878048780,42.32936585365850,46.84007317073170,42.82414634146340,48.82887804878050,38.72146341463410,59.32685365853660
1991,43.49668292682930,50.60709756097560,46.56009756097560,59.29258536585370,42.636,46.82382926829270,42.98475609756100,48.4149756097561,38.12239024390240,59.64200000000000
1992,43.90046341463420,50.47578048780490,45.66939024390240,58.97678048780490,42.93973170731710,46.70763414634150,43.14497560975610,47.91739024390240,37.66324390243900,59.59826829268290
1993,44.36963414634150,50.2989512195122,44.84841463414630,58.38473170731710,43.24209756097560,46.49251219512200,43.31024390243900,47.35060975609760,37.34563414634150,59.13578048780490
1994,44.88475609756100,50.08809756097560,44.12656097560980,57.52351219512200,43.54265853658540,46.19990243902440,43.48502439024390,46.73858536585370,37.18760975609760,58.24612195121950
1995,45.41095121951220,49.84973170731710,43.51526829268290,56.39373170731710,43.8409024390244,45.87880487804880,43.67529268292680,46.10629268292680,37.20870731707320,56.93787804878050
1996,45.91082926829270,49.58585365853660,43.00848780487810,55.00800000000000,44.13680487804880,45.59668292682930,43.88551219512190,45.48017073170730,37.41887804878050,55.25160975609760
1997,46.35548780487810,49.30451219512200,42.58960975609760,53.44180487804880,44.42980487804880,45.41002439024390,44.11519512195120,44.89163414634150,37.79902439024390,53.32817073170730
1998,46.72753658536580,49.01717073170730,42.25507317073170,51.79453658536580,44.72134146341460,45.35578048780490,44.36031707317070,44.37256097560980,38.32548780487810,51.32182926829270
1999,47.0209756097561,48.73882926829270,42.02121951219510,50.16207317073170,45.00985365853660,45.44241463414640,44.61936585365850,43.95334146341460,38.97468292682930,49.35782926829270
2000,47.23785365853660,48.4889756097561,41.92987804878050,48.67021951219510,45.29285365853660,45.65190243902440,44.88487804878050,43.66336585365850,39.73158536585370,47.58636585365850
2001,47.39565853658540,48.28258536585370,42.03082926829270,47.43975609756100,45.56726829268290,45.94219512195120,45.14685365853660,43.52353658536590,40.57768292682930,46.13558536585370
2002,47.52678048780490,48.12958536585370,42.34253658536590,46.5279756097561,45.83314634146340,46.25380487804880,45.39880487804880,43.52882926829270,41.48943902439030,45.05478048780490
2003,47.66212195121950,48.0359756097561,42.85856097560980,45.96173170731710,46.09243902439030,46.54124390243900,45.63978048780490,43.67219512195120,42.43078048780490,44.36375609756100
2004,47.81960975609760,48.01124390243900,43.5549512195122,45.7469756097561,46.35119512195120,46.78702439024390,45.87324390243900,43.94612195121950,43.36860975609760,44.07590243902440
2005,48.01714634146340,48.05885365853660,44.38436585365850,45.86019512195120,46.61641463414640,46.99168292682930,46.10965853658540,44.34756097560980,44.26024390243900,44.17117073170730
2006,48.26514634146340,48.18129268292680,45.28851219512200,46.23948780487810,46.89909756097560,47.16875609756100,46.36197560975610,44.86751219512190,45.07302439024390,44.59012195121950
2007,48.56058536585370,48.36858536585370,46.19763414634150,46.76951219512190,47.20531707317070,47.34929268292680,46.64268292682930,45.48253658536590,45.79587804878050,45.2150243902439
2008,48.89839024390240,48.60575609756100,47.05243902439030,47.3419268292683,47.53856097560980,47.55734146341460,46.95926829268290,46.16324390243900,46.42526829268290,45.93156097560980
2009,49.27802439024390,48.88531707317070,47.81453658536590,47.88882926829270,47.89885365853660,47.79692682926830,47.31324390243900,46.88370731707320,46.95768292682930,46.66936585365850
2010,49.6969268292683,49.19482926829270,48.45548780487800,48.34280487804880,48.28219512195120,48.06958536585370,47.70065853658540,47.61846341463410,47.40219512195120,47.36507317073170
