year	australia	canada	us
1960	70.81707317087810	71.13317073170730	69.77073170731710
1961	70.97317073170730	71.34609756097560	70.27073170731710
1962	70.94243902439030	71.36707317073170	70.11951219512200
1963	70.91170731707320	71.38073170731710	69.91707317073170
1964	70.88097560975610	71.77634146341460	70.16585365853660
1965	70.85024390243900	71.87219512195120	70.21463414634150
1966	70.81951219512200	72.00439024390240	70.21219512195120
1967	70.86926829268290	72.20780487804880	70.56097560975610
1968	70.91902439024390	72.35341463414630	69.95121951219510
1969	70.96878048780490	72.50146341463410	70.50731707317080
1970	71.01853658536590	72.70048780487810	70.80731707317070
1971	71.06829268292680	73.02926829268290	71.10731707317070
1972	71.45756097560980	72.93390243902440	71.15609756097560
1973	71.84682926829270	73.16268292682930	71.35609756097560
1974	72.23609756097560	73.23756097560980	71.95609756097560
1975	72.62536585365860	73.52170731707320	72.60487804878050
1976	73.01463414634150	73.85609756097560	72.85609756097560
1977	73.34439024390240	74.21560975609760	73.25609756097560
1978	73.67414634146340	74.52975609756100	73.35609756097560
1979	74.00390243902440	74.86634146341460	73.80487804878050
1980	74.33365853658540	75.0780487804878	73.65853658536590
1981	74.66341463414630	75.47853658536590	74.00731707317070
1982	74.9048780487805	75.68048780487810	74.3609756097561
1983	75.14634146341460	76.03634146341460	74.46341463414630
1984	75.3878048780488	76.31756097560980	74.56341463414640
1985	75.62926829268290	76.30341463414640	74.56341463414640
1986	75.87073170731710	76.44000000000000	74.61463414634150
1987	76.15170731707320	76.73951219512200	74.7658536585366
1988	76.43268292682930	76.80926829268290	74.7658536585366
1989	76.71365853658540	77.06560975609760	75.01707317073170
1990	76.99463414634150	77.37707317073170	75.21463414634150
1991	77.27560975609760	77.55341463414630	75.36585365853660
1992	77.37804878048780	77.32073170731710	75.64219512195120
1993	77.87804878048780	77.68512195121950	75.41951219512200
1994	77.87804878048780	77.86195121951220	75.57439024390250
1995	77.82926829268290	77.97756097560980	75.6219512195122
1996	78.07804878048780	78.23048780487810	75.99658536585370
1997	78.48048780487810	78.48048780487810	76.42926829268290
1998	78.63170731707320	78.66243902439020	76.58048780487810
1999	78.93170731707320	78.8829268292683	76.5829268292683
2000	79.23414634146340	79.23658536585370	76.63658536585370
2001	79.63414634146340	79.48780487804880	76.73658536585370
2002	79.93658536585370	79.59024390243900	76.83658536585370
2003	80.23902439024390	79.83902439024390	76.98780487804880
2004	80.49024390243900	80.14146341463410	77.33902439024390
2005	80.84146341463410	80.29268292682930	77.33902439024390
2006	81.04146341463420	80.64390243902440	77.58780487804880
2007	81.29268292682930	80.80439024390240	77.83902439024390
2008	81.39512195121950	80.96487804878050	77.93902439024390
2009	81.54390243902440	80.66178048780490	78.09024390243900
2010	81.69512195121950	80.79780487804880	78.54146341463420
2011	81.84634146341460	80.92924390243900	78.64146341463410
